University,State,pretty name,State Abb,location name,food name,City,Type,Grad Program?,Pop (2020 Decennial Census),undergrad pop,city long,city lat,zip,uni. LONGITUDE,uni. LATITUDE,Monthly food,Appartment Mean,Appartment Min,Appartment Max,Gas,Avg spent on gas = avg miles driven / gas milage * gas cost,Avg gas/ month?,Total Cost,Monthly Cost of living + Yearly Maintencance cost,Min Cost,Max Cost
Millersville University of Pennsylvania,Pennsylvania,"Millersville, Pennsylvania",PA,Millersville Pennsylvania,Millersville-PA,Millersville,Regional,yes,7903,6093,-76.3522,40.0047,17551-0302,-76.357,40.0003,318.0666667,1519.6,1209,2313.5,3.68,1853.13,154.4275,1992.094167,2784.094167,2473.494167,3577.994167
University of Minnesota-Twin Cities,Minnesota,"Minneapolis, Minnesota",MN,Minneapolis Minnesota,Minneapolis-MN,Minneapolis,Regional,yes,429954,30734,-93.2678,44.9635,55455-0213,-93.235,44.9729,320.6666667,1704.08,1029,3387.5,3.49,1757.45,146.4541667,2171.200833,2963.200833,2288.120833,4646.620833
The University of Montana,Montana,"Missoula, Montana",MT,Missoula Montana,Missoula-MT,Missoula,Flagship,yes,73489,7026,-114.021,46.8751,59812,-113.98,46.8593,310.83,1878.71,1200,3527.5,3.39,1707.1,142.2583333,2331.798333,3123.798333,2445.088333,4772.588333
Western Oregon University,Oregon,"Monmouth, Oregon",OR,Monmouth Oregon,Monmouth-OR,Monmouth,Regional,yes,11110,3524,-123.228,44.8505,97361-1394,-123.24,44.8522,321.5116667,1447.32,900,1982.5,3.49,1757.45,146.4541667,1915.285833,2707.285833,2159.965833,3242.465833
University of Montevallo,Alabama,"Montevallo, Alabama",AL,Montevallo Alabama,Montevallo-AL,Montevallo,Regional,yes,7229,2184,-86.8477,33.1246,35115-6000,-86.865,33.1063,348.9416667,1207.35,587.5,2158,3.09,1556.03,129.6691667,1685.960833,2477.960833,1858.110833,3428.610833
University of Arkansas at Monticello,Arkansas,"Monticello, Arkansas",AR,Monticello Arkansas,Monticello-AR,Monticello,Regional,yes,8442,1946,-91.7934,33.6257,71656,-91.811,33.5909,322.4866667,700,700,700,2.95,1485.53,123.7941667,1146.280833,1938.280833,1938.280833,1938.280833
Morehead State University,Kentucky,"Morehead, Kentucky",KY,Morehead Kentucky,Morehead-KY,Morehead,Regional,yes,7151,5210,-83.4466,38.1906,40351,-83.434,38.1868,312.0866667,750,750,750,3.14,1581.21,131.7675,1193.854167,1985.854167,1985.854167,1985.854167
West Virginia University,West Virginia,"Morgantown, West Virginia",WV,Morgantown West Virginia,Morgantown-WV,Morgantown,Flagship,yes,30347,18878,-79.9464,39.6383,26506,-79.954,39.6344,314.1666667,954,532,1902.5,3.39,1707.1,142.2583333,1410.425,2202.425,1780.425,3150.925
University of Minnesota-Morris,Minnesota,"Morris, Minnesota",MN,Morris Minnesota,Morris-MN,Morris,Regional,yes,5105,1189,-95.9046,45.5857,56267,-95.9,45.5898,321.9666667,730.6,610,995,3.19,1606.38,133.865,1186.431667,1978.431667,1857.831667,2242.831667
University of Idaho,Idaho,"Moscow, Idaho",ID,Moscow Idaho,Moscow-ID,Moscow,Flagship,yes,25435,6861,-116.999,46.7308,83844-2282,-117.01,46.7274,317.1783333,1107.23,542.5,1629,3.41,1717.17,143.0975,1567.505833,2359.505833,1794.775833,2881.275833
Central Michigan University,Michigan,"Mount Pleasant, Michigan",MI,Mount Pleasant Michigan,Mount-Pleasant-MI,Mount Pleasant,Regional,yes,21688,11323,-84.7759,43.5966,48859,-84.775,43.5912,317.2,845.31,705,1072.5,3.44,1732.28,144.3566667,1306.866667,2098.866667,1958.556667,2326.056667
Ball State University,Indiana,"Muncie, Indiana",IN,Muncie Indiana,Muncie-IN,Muncie,Regional,yes,65194,13896,-85.395,40.1989,47306,-85.409,40.2034,316.3333333,926.56,612.5,1575,3.39,1707.1,142.2583333,1385.151667,2177.151667,1863.091667,2825.591667
Middle Tennessee State University,Tennessee,"Murfreesboro, Tennessee",TN,Murfreesboro Tennessee,Murfreesboro-TN,Murfreesboro,Regional,yes,152769,17713,-86.4121,35.849,37132,-86.361,35.848,318.5866667,1503.51,1027.5,2532,3.19,1606.38,133.865,1955.961667,2747.961667,2271.951667,3776.451667
Stephen F. Austin State University,Texas,"Nacogdoches, Texas",TX,Nacogdoches Texas,Nacogdoches-TX,Nacogdoches,Regional,yes,32147,9515,-94.6528,31.6134,75965,-94.649,31.6211,318.9333333,775.72,654,1075,2.77,1394.89,116.2408333,1210.894167,2002.894167,1881.174167,2302.174167
Northwestern State University,Louisiana,"Natchitoches, Louisiana",LA,Natchitoches Louisiana,Natchitoches-LA,Natchitoches,Regional,yes,18039,7513,-93.0975,31.7315,71497-0002,-93.098,31.7507,318.5,875,875,875,2.82,1420.06,118.3383333,1311.838333,2103.838333,2103.838333,2103.838333
SUNY New Paltz,New York,"New Paltz, New York",NY,New Paltz New York,New-Paltz-NY,New Paltz,Regional,yes,14407,6142,41.7386,74.0852,12561-2443,-74.082,41.7409,315.0333333,1853.96,1124,3090,3.14,1581.21,131.7675,2300.760833,3092.760833,2362.800833,4328.800833
University of Delaware,Delaware,"Newark, Delaware",DE,Newark Delaware,Newark-DE,Newark,Flagship,yes,30601,18707,-75.7576,39.6776,19716,-75.753,39.6796,318.0666667,1611.05,1135,3090,3.35,1686.95,140.5791667,2069.695833,2861.695833,2385.645833,4340.645833
The University of Oklahoma,Oklahoma,"Norman, Oklahoma",OK,Norman Oklahoma,Norman-OK,Norman,Flagship,yes,128026,20800,-97.3471,35.2335,73019,-97.444,35.2094,314.1666667,949.56,600,2495,2.89,1455.31,121.2758333,1385.0025,2177.0025,1827.4425,3722.4425
Carleton College,Minnesota,"Northfield, Minnesota",MN,Northfield Minnesota,Northfield-MN,Northfield,Mix,yes,20790,2008,-93.1698,44.455,55057,-93.155,44.4623,320.6666667,1400.62,710,2150,3.25,1636.6,136.3833333,1857.67,2649.67,1959.05,3399.05
SUNY Oneonta,New York,"Oneonta, New York",NY,Oneonta New York,Oneonta-NY,Oneonta,Mix,yes,13079,5374,-75.0666,42.4551,13820-4015,-75.064,42.4689,314.6,781,781,781,3.36,1691.99,140.9991667,1236.599167,2028.599167,2028.599167,2028.599167
South Carolina State University,South Carolina,"Orangeburg, South Carolina",SC,Orangeburg South Carolina,Orangeburg-SC,Orangeburg,Black,yes,13240,2063,-80.8671,33.4928,29117-0001,-80.849,33.498,317.2,962.5,825,1100,2.99,1505.67,125.4725,1405.1725,2197.1725,2059.6725,2334.6725
University of Maine,Maine,"Orono, Maine",ME,Orono Maine,Orono-ME,Orono,Flagship,yes,10185,9246,44.9019,68.6688,4469,-68.669,44.8993,315.9,1762.5,1275,2250,3.19,1606.38,133.865,2212.265,3004.265,2516.765,3491.765
SUNY Oswego,New York,"Oswego, New York",NY,Oswego New York,Oswego-NY,Oswego,Regional,yes,16921,6095,-76.5005,43.4516,13126,-76.541,43.4543,314.6,1455,1075,1835,3.45,1737.31,144.7758333,1914.375833,2706.375833,2326.375833,3086.375833
